ss1,ss2,ss3
2.4182001044532157e-5,2.3787003721288378e-5,2.327010172193568e-5
2.903873387657055e-6,6.771572122919417e-6,3.893231904894694e-5
2.3198994812047437e-5,1.844809288870557e-5,2.734808688712395e-5
3.3310419656000886e-5,3.215859567326104e-5,1.8237002370896215e-6
1.748112262700371e-5,3.241619063003928e-5,4.287405785642135e-5
4.466292473068667e-6,7.75832092040066e-6,3.3053022121591743e-6
3.470024063397974e-6,4.267572358479643e-5,4.4216015056594856e-7
4.568057347121902e-5,6.279041832511962e-6,2.9897344533267582e-5
2.471039099150485e-5,2.4160651778552024e-5,4.296331324713077e-7
2.469467752658429e-5,1.6077951749719585e-5,1.6534668930577713e-5
1.2547799889130897e-5,1.6630706340815422e-5,3.1358603302959514e-6
7.792837409648797e-6,2.0131294333270004e-5,5.650767798744724e-5
5.102776515786406e-5,1.1785862563352919e-5,6.9595881218214464e-6
7.061049726310961e-5,4.430715443349026e-5,3.65099237235909e-5
9.079337894774315e-6,1.7171391202711964e-5,2.9864801670407606e-5
6.723289560892067e-5,4.017571568838047e-5,2.1322443386234605e-5
5.139610222818375e-6,8.440400858742215e-6,3.864091336683979e-5
3.5608954313751586e-5,3.45064441753072e-5,1.8571823320060286e-5
2.4701347106769596e-7,6.58536174644774e-6,1.2708059007183677e-5
4.7784646510748876e-5,4.7450401692477486e-5,2.5757533407112866e-5
9.209373521293825e-6,2.7318677761165728e-5,1.463070389202308e-5
1.2869171755444643e-5,1.4289504840674893e-5,4.457079590023033e-6
2.6403406373369353e-5,1.3493786303399045e-6,1.6658008551767146e-5
1.5525783952487658e-5,8.614924816378029e-7,2.3966412014653197e-5
3.432063665555377e-5,2.765700295209249e-5,4.64034499663103e-5
3.658869096790094e-6,8.815592017914458e-6,3.1421767499325583e-6
2.6682177168945252e-5,7.719447046721895e-6,1.3652166808393488e-5
1.573102931444644e-5,1.64490622893233e-5,5.9921082520468905e-6
1.9639015153403854e-5,5.268759271276826e-6,1.1278100645814695e-5
3.23023886177606e-5,8.307566085336633e-6,3.728447735209191e-5
4.350836425170622e-5,5.570105765159915e-5,6.313123250891828e-5
3.874310762377731e-5,1.710218379393304e-5,3.8053985815234467e-6
3.501027653101741e-5,1.4703452745003188e-5,3.3999617205631294e-5
2.3031802294824556e-5,1.0307535674280376e-5,9.487071936543476e-6
5.943916909796394e-6,1.6561174821135496e-5,4.9668791973223905e-6
1.1628785057440018e-5,2.453809648199304e-5,3.060616084147499e-6
1.4360183092604932e-5,1.9130272117083286e-6,1.040862541114857e-5
1.2673309577518557e-5,1.1098307277596496e-5,1.7454964600192818e-5
1.200663195952134e-5,2.1946179484031085e-5,2.7296610850526006e-5
1.627502351316444e-5,1.9679802540098443e-5,4.045320207731279e-5
1.3969409051213914e-5,6.646890773000368e-6,9.837486721060397e-6
3.847076096355642e-5,2.2432489820696086e-5,1.038191326130402e-5
2.9899672473054422e-6,6.316911439924029e-6,2.652340354737758e-6
2.399563410951454e-5,1.9443626725333126e-5,1.424541112652553e-5
2.9058221063786426e-5,3.094752843029279e-5,1.7475059613177246e-5
5.779898443875562e-6,1.7147314293120606e-5,9.088434289018698e-6
